Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearAtCompany,PromotionGapRatio,OverallSatisfaction,ExperienceRatio,ManagerStabilityRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
41,1,1102,1,2,2,94,3,2,4,5993,19479,8,11,3,1,0,8,0,1,6,4,0,5,998.8333333333334,0.0,2.3333333333333335,0.75,0.8333333333333334,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
49,0,279,8,1,3,61,2,2,2,5130,24907,1,23,4,4,1,10,3,3,10,7,1,7,513.0,0.1,3.0,1.0,0.7,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
37,1,1373,2,2,4,92,2,1,3,2090,2396,6,15,3,2,0,7,3,3,0,0,0,0,2090.0,0.0,3.0,0.0,0.0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
33,0,1392,3,4,4,56,3,1,3,2909,23159,1,11,3,3,0,8,3,3,8,7,3,0,363.625,0.375,3.3333333333333335,1.0,0.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
27,0,591,2,1,1,40,3,1,2,3468,16632,9,12,3,4,1,6,3,3,2,2,2,2,1734.0,1.0,2.3333333333333335,0.3333333333333333,1.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
32,0,1005,2,2,4,79,3,1,4,3068,11864,0,13,3,3,0,8,2,2,7,7,3,6,438.2857142857143,0.42857142857142855,3.6666666666666665,0.875,0.8571428571428571,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
59,0,1324,3,3,3,81,4,1,1,2670,9964,4,20,4,1,3,12,3,2,1,0,0,0,2670.0,0.0,1.6666666666666667,0.08333333333333333,0.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
30,0,1358,24,1,4,67,3,1,3,2693,13335,1,22,4,2,1,1,2,3,1,0,0,0,2693.0,0.0,3.0,1.0,0.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
38,0,216,23,3,4,44,2,3,3,9526,8787,0,21,4,2,0,10,2,3,9,7,1,8,1058.4444444444443,0.1111111111111111,3.0,0.9,0.8888888888888888,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
36,0,1299,27,3,3,94,3,2,3,5237,16577,6,13,3,2,2,17,3,2,7,7,7,7,748.1428571428571,1.0,2.6666666666666665,0.4117647058823529,1.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
35,0,809,16,3,1,84,4,1,2,2426,16479,0,13,3,3,1,6,5,3,5,4,0,3,485.2,0.0,2.0,0.8333333333333334,0.6,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
29,0,153,15,2,4,49,2,2,3,4193,12682,0,12,3,4,0,10,3,3,9,5,0,8,465.8888888888889,0.0,3.6666666666666665,0.9,0.8888888888888888,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
31,0,670,26,1,1,31,3,1,3,2911,15170,1,17,3,4,1,5,1,2,5,2,4,3,582.2,0.8,2.6666666666666665,1.0,0.6,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
34,0,1346,19,2,2,93,3,1,4,2661,8758,0,11,3,3,1,3,2,3,2,2,1,2,1330.5,0.5,3.0,0.6666666666666666,1.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
28,1,103,24,3,3,50,2,1,3,2028,12947,5,14,3,2,0,6,4,3,4,2,0,3,507.0,0.0,2.6666666666666665,0.6666666666666666,0.75,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
29,0,1389,21,4,2,51,4,3,1,9980,10195,1,11,3,3,1,10,1,3,10,9,8,8,998.0,0.8,2.0,1.0,0.8,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
32,0,334,5,2,1,80,4,1,2,3298,15053,0,12,3,4,2,7,5,2,6,2,0,5,549.6666666666666,0.0,2.3333333333333335,0.8571428571428571,0.8333333333333334,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
22,0,1123,16,2,4,96,4,1,4,2935,7324,1,13,3,2,2,1,2,2,1,0,0,0,2935.0,0.0,3.3333333333333335,1.0,0.0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
53,0,1219,2,4,1,78,2,4,4,15427,22021,2,16,3,3,0,31,3,3,25,8,3,7,617.08,0.12,2.6666666666666665,0.8064516129032258,0.28,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
