EmployeeNumber,JobRole,occupation_title,required_count,has_count,gap_count,skill_gap
1,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Office software, Microsoft PowerPoint"
2,Research Scientist,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Office software, Microsoft PowerPoint, Writing"
4,Laboratory Technician,Chemical Technicians,9,8,1,Microsoft Excel
5,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Excel, Reading Comprehension"
7,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Office software, Microsoft Outlook"
8,Laboratory Technician,Chemical Technicians,9,6,3,"Microsoft Excel, Microsoft Outlook, Monitoring"
10,Laboratory Technician,Chemical Technicians,9,8,1,Microsoft Office software
11,Laboratory Technician,Chemical Technicians,9,5,4,"Critical Thinking, Microsoft Outlook, Science, Writing"
12,Manufacturing Director,Industrial Production Managers,10,6,4,"Microsoft Excel, Microsoft Office software, Monitoring, Reading Comprehension"
13,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Critical Thinking, Microsoft Outlook"
14,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Office software, Writing"
15,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Microsoft Office software"
16,Research Scientist,Natural Sciences Managers,9,7,2,"Monitoring, Writing"
18,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Microsoft Excel, Microsoft Office software"
19,Laboratory Technician,Chemical Technicians,9,6,3,"Microsoft Outlook, Monitoring, Writing"
20,Manufacturing Director,Industrial Production Managers,10,6,4,"Active Listening, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension"
21,Research Scientist,Natural Sciences Managers,9,7,2,"Critical Thinking, Microsoft Office software"
22,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Critical Thinking, Monitoring"
23,Manager,General and Operations Managers,9,7,2,"Active Learning, Monitoring"
24,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Office software, Science, Writing"
26,Manufacturing Director,Industrial Production Managers,10,7,3,"Active Listening, Microsoft Outlook, Reading Comprehension"
27,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Microsoft Office software, Salesforce software"
28,Research Director,Natural Sciences Managers,9,8,1,Microsoft Office software
30,Research Scientist,Natural Sciences Managers,9,5,4,"Microsoft Office software, Microsoft PowerPoint, Monitoring, Reading Comprehension"
31,Research Scientist,Natural Sciences Managers,9,8,1,Reading Comprehension
32,Manager,General and Operations Managers,9,5,4,"Active Learning, Active Listening, Microsoft Excel, Speaking"
33,Research Scientist,Natural Sciences Managers,9,6,3,"Critical Thinking, Science, Writing"
35,Sales Executive,Sales Managers,10,6,4,"Active Learning, Active Listening, Monitoring, Speaking"
36,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Active Listening, Microsoft Excel, Salesforce software, Speaking"
38,Manager,General and Operations Managers,9,6,3,"Microsoft Excel, Microsoft Office software, Speaking"
39,Laboratory Technician,Chemical Technicians,9,6,3,"Critical Thinking, Monitoring, Writing"
40,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Active Learning, Active Listening"
41,Laboratory Technician,Chemical Technicians,9,8,1,Active Listening
42,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Critical Thinking, Microsoft Excel"
45,Research Scientist,Natural Sciences Managers,9,7,2,"Reading Comprehension, Science"
46,Research Scientist,Natural Sciences Managers,9,8,1,Microsoft Excel
47,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Critical Thinking, Microsoft Excel"
49,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,6,3,"Active Listening, Microsoft Office software, Salesforce software"
51,Research Scientist,Natural Sciences Managers,9,8,1,Active Listening
52,Sales Executive,Sales Managers,10,7,3,"Microsoft Office software, Microsoft Outlook, Reading Comprehension"
53,Laboratory Technician,Chemical Technicians,9,5,4,"Critical Thinking, Microsoft Excel, Microsoft Office software, Science"
54,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Microsoft Outlook, Reading Comprehension, Writing"
55,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Science"
56,Sales Executive,Sales Managers,10,8,2,"Critical Thinking, Monitoring"
57,Laboratory Technician,Chemical Technicians,9,7,2,"Monitoring, Science"
58,Research Director,Natural Sciences Managers,9,6,3,"Critical Thinking, Microsoft Excel, Science"
60,Sales Executive,Sales Managers,10,6,4,"Active Learning, Critical Thinking, Monitoring, Reading Comprehension"
61,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Office software, Reading Comprehension, Science"
62,Sales Executive,Sales Managers,10,7,3,"Microsoft Excel, Microsoft Office software, Speaking"
63,Laboratory Technician,Chemical Technicians,9,7,2,"Science, Writing"
64,Laboratory Technician,Chemical Technicians,9,8,1,Monitoring
65,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Critical Thinking, Science, Writing"
68,Sales Executive,Sales Managers,10,7,3,"Microsoft PowerPoint, Monitoring, Speaking"
70,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Critical Thinking, Microsoft Office software, Writing"
72,Sales Executive,Sales Managers,10,8,2,"Critical Thinking, Monitoring"
73,Research Director,Natural Sciences Managers,9,6,3,"Active Listening, Monitoring, Writing"
74,Sales Executive,Sales Managers,10,9,1,Critical Thinking
75,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Microsoft Office software, Microsoft Outlook, Reading Comprehension"
76,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Office software, Science"
77,Manufacturing Director,Industrial Production Managers,10,8,2,"Active Listening, Speaking"
78,Manufacturing Director,Industrial Production Managers,10,7,3,"Microsoft Excel, Microsoft Outlook, Monitoring"
79,Laboratory Technician,Chemical Technicians,9,8,1,Reading Comprehension
80,Research Director,Natural Sciences Managers,9,7,2,"Microsoft PowerPoint, Reading Comprehension"
81,Sales Executive,Sales Managers,10,7,3,"Critical Thinking, Microsoft Outlook, Reading Comprehension"
83,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Active Listening, Microsoft Office software, Microsoft Outlook, Writing"
84,Manager,General and Operations Managers,9,7,2,"Active Learning, Active Listening"
85,Manufacturing Director,Industrial Production Managers,10,5,5,"Critical Thinking, Microsoft Office software, Microsoft PowerPoint, Monitoring, Speaking"
86,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Office software, Reading Comprehension"
88,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Critical Thinking, Reading Comprehension, Science"
90,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Office software, Monitoring, Writing"
91,Sales Executive,Sales Managers,10,6,4,"Microsoft Outlook, Microsoft PowerPoint, Monitoring, Reading Comprehension"
94,Research Scientist,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Excel, Reading Comprehension, Science"
95,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Excel, Microsoft Office software, Writing"
96,Research Scientist,Natural Sciences Managers,9,7,2,"Monitoring, Science"
97,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Writing"
98,Manufacturing Director,Industrial Production Managers,10,9,1,Active Listening
100,Sales Executive,Sales Managers,10,8,2,"Microsoft Excel, Microsoft Outlook"
101,Research Director,Natural Sciences Managers,9,8,1,Microsoft Excel
102,Research Director,Natural Sciences Managers,9,5,4,"Microsoft Office software, Monitoring, Science, Writing"
103,Human Resources,Human Resources Specialists,10,6,4,"Active Listening, Applicant tracking software, Critical Thinking, Microsoft Outlook"
104,Laboratory Technician,Chemical Technicians,9,8,1,Microsoft Outlook
105,Research Scientist,Natural Sciences Managers,9,7,2,"Reading Comprehension, Writing"
106,Sales Executive,Sales Managers,10,9,1,Microsoft Office software
107,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Office software, Science"
110,Manufacturing Director,Industrial Production Managers,10,9,1,Learning Strategies
112,Manufacturing Director,Industrial Production Managers,10,5,5,"Critical Thinking, Microsoft Excel, Monitoring, Reading Comprehension, Speaking"
113,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Critical Thinking, Microsoft Excel, Microsoft Office software, Reading Comprehension"
116,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Microsoft Excel, Monitoring, Science"
117,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Salesforce software
118,Sales Executive,Sales Managers,10,9,1,Microsoft PowerPoint
119,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Speaking
120,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Reading Comprehension"
121,Sales Executive,Sales Managers,10,8,2,"Critical Thinking, Microsoft PowerPoint"
124,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Active Listening, Microsoft Outlook"
125,Sales Executive,Sales Managers,10,8,2,"Active Learning, Monitoring"
126,Research Director,Natural Sciences Managers,9,5,4,"Active Listening, Critical Thinking, Microsoft Excel, Reading Comprehension"
128,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Microsoft PowerPoint"
129,Sales Executive,Sales Managers,10,7,3,"Active Learning, Critical Thinking, Microsoft PowerPoint"
131,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Reading Comprehension"
132,Laboratory Technician,Chemical Technicians,9,5,4,"Microsoft Excel, Microsoft Office software, Monitoring, Reading Comprehension"
133,Human Resources,Human Resources Specialists,10,9,1,Active Listening
134,Research Scientist,Natural Sciences Managers,9,8,1,Monitoring
137,Laboratory Technician,Chemical Technicians,9,8,1,Writing
138,Research Scientist,Natural Sciences Managers,9,7,2,"Reading Comprehension, Science"
139,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Active Listening, Microsoft Excel, Writing"
140,Manager,General and Operations Managers,9,7,2,"Microsoft Excel, Speaking"
141,Research Director,Natural Sciences Managers,9,7,2,"Microsoft Office software, Writing"
142,Sales Executive,Sales Managers,10,5,5,"Active Listening, Critical Thinking, Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension"
