EmployeeNumber,current_skill
1,Active Listening
1,Monitoring
1,Microsoft Excel
1,Reading Comprehension
1,Critical Thinking
1,Microsoft Outlook
1,Speaking
2,Monitoring
2,Active Listening
2,Microsoft Excel
2,Reading Comprehension
2,Science
4,Science
4,Reading Comprehension
4,Critical Thinking
4,Microsoft Office software
4,Writing
4,Active Listening
4,Microsoft Outlook
4,Monitoring
5,Writing
5,Microsoft PowerPoint
5,Monitoring
5,Active Listening
5,Microsoft Office software
5,Critical Thinking
5,Science
7,Critical Thinking
7,Science
7,Reading Comprehension
7,Writing
7,Microsoft Excel
7,Monitoring
7,Active Listening
8,Microsoft Office software
8,Critical Thinking
8,Active Listening
8,Science
8,Writing
8,Reading Comprehension
10,Writing
10,Microsoft Excel
10,Critical Thinking
10,Microsoft Outlook
10,Active Listening
10,Monitoring
10,Science
10,Reading Comprehension
11,Microsoft Office software
11,Active Listening
11,Microsoft Excel
11,Reading Comprehension
11,Monitoring
12,Speaking
12,Microsoft PowerPoint
12,Active Listening
12,Microsoft Outlook
12,Learning Strategies
12,Critical Thinking
13,Speaking
13,Active Learning
13,Reading Comprehension
13,Microsoft Excel
13,Microsoft Office software
13,Writing
13,Salesforce software
13,Active Listening
14,Microsoft Excel
14,Active Listening
14,Microsoft Outlook
14,Critical Thinking
14,Science
14,Monitoring
14,Reading Comprehension
15,Monitoring
15,Microsoft Outlook
15,Critical Thinking
15,Writing
15,Reading Comprehension
15,Science
15,Microsoft Excel
16,Science
16,Microsoft PowerPoint
16,Microsoft Office software
16,Reading Comprehension
16,Active Listening
16,Critical Thinking
16,Microsoft Excel
18,Science
18,Critical Thinking
18,Monitoring
18,Writing
18,Reading Comprehension
18,Microsoft Outlook
19,Microsoft Excel
19,Microsoft Office software
19,Science
19,Critical Thinking
19,Active Listening
19,Reading Comprehension
20,Speaking
20,Microsoft Outlook
20,Critical Thinking
20,Learning Strategies
20,Microsoft Excel
20,Monitoring
21,Science
21,Monitoring
21,Active Listening
21,Reading Comprehension
21,Microsoft PowerPoint
21,Writing
21,Microsoft Excel
22,Science
22,Microsoft Excel
22,Microsoft Office software
22,Microsoft Outlook
22,Writing
22,Reading Comprehension
23,Microsoft Office software
23,Critical Thinking
23,Active Listening
23,Reading Comprehension
23,Microsoft PowerPoint
23,Speaking
23,Microsoft Excel
24,Critical Thinking
24,Microsoft Excel
24,Active Listening
24,Reading Comprehension
24,Microsoft PowerPoint
24,Monitoring
26,Monitoring
26,Microsoft Office software
26,Critical Thinking
26,Speaking
26,Microsoft PowerPoint
26,Learning Strategies
26,Microsoft Excel
27,Microsoft Excel
