occupation_code,skill_name,importance_score
11-1011.00,Reading Comprehension,4.12
11-1011.00,Active Listening,4.0
11-1011.00,Writing,4.12
11-1011.00,Speaking,4.25
11-1011.00,Mathematics,3.25
11-1011.00,Science,1.62
11-1011.00,Critical Thinking,4.38
11-1011.00,Active Learning,3.75
11-1011.00,Learning Strategies,3.12
11-1011.00,Monitoring,4.0
11-1011.03,Reading Comprehension,4.0
11-1011.03,Active Listening,4.0
11-1011.03,Writing,4.12
11-1011.03,Speaking,4.0
11-1011.03,Mathematics,2.88
11-1011.03,Science,2.12
11-1011.03,Critical Thinking,4.12
11-1011.03,Active Learning,3.75
11-1011.03,Learning Strategies,3.38
11-1011.03,Monitoring,3.75
11-1021.00,Reading Comprehension,4.0
11-1021.00,Active Listening,4.0
11-1021.00,Writing,3.5
11-1021.00,Speaking,4.0
11-1021.00,Mathematics,2.62
11-1021.00,Science,1.5
11-1021.00,Critical Thinking,3.88
11-1021.00,Active Learning,3.62
11-1021.00,Learning Strategies,3.0
11-1021.00,Monitoring,4.0
11-2011.00,Reading Comprehension,3.75
11-2011.00,Active Listening,4.12
11-2011.00,Writing,3.75
11-2011.00,Speaking,4.12
11-2011.00,Mathematics,2.88
11-2011.00,Science,1.5
11-2011.00,Critical Thinking,3.88
11-2011.00,Active Learning,3.38
11-2011.00,Learning Strategies,3.0
11-2011.00,Monitoring,3.5
11-2021.00,Reading Comprehension,3.88
11-2021.00,Active Listening,4.12
11-2021.00,Writing,3.25
11-2021.00,Speaking,4.0
11-2021.00,Mathematics,3.0
11-2021.00,Science,1.75
11-2021.00,Critical Thinking,3.88
11-2021.00,Active Learning,3.88
11-2021.00,Learning Strategies,3.25
11-2021.00,Monitoring,3.88
11-2022.00,Reading Comprehension,3.88
11-2022.00,Active Listening,4.0
11-2022.00,Writing,3.62
11-2022.00,Speaking,4.0
11-2022.00,Mathematics,3.0
11-2022.00,Science,1.62
11-2022.00,Critical Thinking,3.88
11-2022.00,Active Learning,3.75
11-2022.00,Learning Strategies,3.12
11-2022.00,Monitoring,3.88
11-2032.00,Reading Comprehension,4.12
11-2032.00,Active Listening,4.12
11-2032.00,Writing,4.0
11-2032.00,Speaking,4.25
11-2032.00,Mathematics,2.38
11-2032.00,Science,1.12
11-2032.00,Critical Thinking,3.88
11-2032.00,Active Learning,3.62
11-2032.00,Learning Strategies,3.0
11-2032.00,Monitoring,3.5
11-2033.00,Reading Comprehension,3.88
11-2033.00,Active Listening,4.0
11-2033.00,Writing,3.88
11-2033.00,Speaking,4.12
11-2033.00,Mathematics,3.0
11-2033.00,Science,1.25
11-2033.00,Critical Thinking,4.12
11-2033.00,Active Learning,3.38
11-2033.00,Learning Strategies,2.62
11-2033.00,Monitoring,3.12
11-3012.00,Reading Comprehension,4.0
11-3012.00,Active Listening,4.0
11-3012.00,Writing,3.75
11-3012.00,Speaking,3.88
11-3012.00,Mathematics,2.25
11-3012.00,Science,1.0
11-3012.00,Critical Thinking,3.75
11-3012.00,Active Learning,3.12
11-3012.00,Learning Strategies,3.0
11-3012.00,Monitoring,3.38
11-3013.00,Reading Comprehension,3.75
11-3013.00,Active Listening,3.75
11-3013.00,Writing,3.25
11-3013.00,Speaking,3.88
11-3013.00,Mathematics,2.75
11-3013.00,Science,1.5
11-3013.00,Critical Thinking,3.75
11-3013.00,Active Learning,3.12
11-3013.00,Learning Strategies,3.0
11-3013.00,Monitoring,3.75
11-3013.01,Reading Comprehension,4.12
11-3013.01,Active Listening,4.12
11-3013.01,Writing,3.75
11-3013.01,Speaking,4.0
11-3013.01,Mathematics,2.5
11-3013.01,Science,1.38
11-3013.01,Critical Thinking,4.25
11-3013.01,Active Learning,3.62
11-3013.01,Learning Strategies,3.38
11-3013.01,Monitoring,4.0
11-3021.00,Reading Comprehension,4.0
11-3021.00,Active Listening,4.0
11-3021.00,Writing,3.75
11-3021.00,Speaking,3.88
11-3021.00,Mathematics,3.12
11-3021.00,Science,1.75
11-3021.00,Critical Thinking,4.12
11-3021.00,Active Learning,3.38
11-3021.00,Learning Strategies,3.25
11-3021.00,Monitoring,3.88
11-3031.00,Reading Comprehension,4.0
11-3031.00,Active Listening,4.0
11-3031.00,Writing,3.75
11-3031.00,Speaking,4.0
11-3031.00,Mathematics,3.5
11-3031.00,Science,1.25
11-3031.00,Critical Thinking,4.0
11-3031.00,Active Learning,3.5
11-3031.00,Learning Strategies,3.0
11-3031.00,Monitoring,3.75
11-3031.01,Reading Comprehension,4.0
11-3031.01,Active Listening,4.0
11-3031.01,Writing,3.62
11-3031.01,Speaking,4.0
11-3031.01,Mathematics,4.0
11-3031.01,Science,1.0
11-3031.01,Critical Thinking,4.0
11-3031.01,Active Learning,3.88
11-3031.01,Learning Strategies,3.0
11-3031.01,Monitoring,3.88
11-3031.03,Reading Comprehension,4.0
11-3031.03,Active Listening,4.0
11-3031.03,Writing,3.62
11-3031.03,Speaking,3.88
11-3031.03,Mathematics,3.38
11-3031.03,Science,1.0
11-3031.03,Critical Thinking,4.0
11-3031.03,Active Learning,3.75
11-3031.03,Learning Strategies,2.88
11-3031.03,Monitoring,3.5
11-3051.00,Reading Comprehension,3.88
11-3051.00,Active Listening,3.88
11-3051.00,Writing,3.38
11-3051.00,Speaking,4.0
11-3051.00,Mathematics,3.38
11-3051.00,Science,1.62
11-3051.00,Critical Thinking,4.0
11-3051.00,Active Learning,3.62
11-3051.00,Learning Strategies,3.75
11-3051.00,Monitoring,4.0
11-3051.01,Reading Comprehension,4.0
11-3051.01,Active Listening,3.88
11-3051.01,Writing,3.88
11-3051.01,Speaking,3.88
