job_role,occupation_code,occupation_title,match_confidence
Account Manager,11-2022.00,Sales Managers,1.0
Accountant,13-2011.00,Accountants and Auditors,1.0
Auditor,13-2011.00,Accountants and Auditors,1.0
Content Lead,27-3031.00,Public Relations Specialists,1.0
Developer,15-1252.00,Software Developers,1.0
Engineer,15-1252.00,Software Developers,1.0
HR Executive,13-1071.00,Human Resources Specialists,1.0
HR Manager,11-3121.00,Human Resources Managers,1.0
Healthcare Representative,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1.0
Helpdesk,15-1232.00,Computer User Support Specialists,1.0
Human Resources,13-1071.00,Human Resources Specialists,1.0
Laboratory Technician,19-4031.00,Chemical Technicians,1.0
Manager,11-1021.00,General and Operations Managers,1.0
Manufacturing Director,11-3051.00,Industrial Production Managers,1.0
Research Director,11-9121.00,Natural Sciences Managers,1.0
Research Scientist,11-9121.00,Natural Sciences Managers,1.0
SEO Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,1.0
Sales Executive,11-2022.00,Sales Managers,1.0
Sales Representative,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1.0
Support Engineer,15-1232.00,Computer User Support Specialists,1.0
Tester,15-1253.00,Software Quality Assurance Analysts and Testers,1.0
